"Trans_X","Trans_Y","Lon","Lat","Line","StopName"
-8375528.53993181,4862463.12195923,-75.238653,39.976054,"T1","Lansdowne Av & 59th St"
-8375333.84214241,4862491.30366995,-75.236904,39.976248,"T1","Lansdowne Av & 58th St"
-8375166.75158673,4862514.25584397,-75.235403,39.976406,"T1","Lansdowne Av & 57th St"
-8374983.96498284,4862541.13029239,-75.233761,39.976591,"T1","Lansdowne Av & 56th St"
-8374772.12399187,4862573.08919061,-75.231858,39.976811,"T1","Lansdowne Av & 55th St"
-8374555.05098482,4862602.43336049,-75.229908,39.977013,"T1","Lansdowne Av & 54th St"
-8374281.53899594,4862643.39912886,-75.227451,39.977295,"T1","Lansdowne Av & Lancaster Av"
-8374139.60664518,4862579.48098261,-75.226176,39.976855,"T1","Lancaster Av & Bible Way"
-8373740.41495119,4862340.0821284,-75.22259,39.975207,"T1","Lancaster Av & 50th St"
-8373423.93363887,4862128.14342163,-75.219747,39.973748,"T1","Lancaster Av & Thompson St"
-8373297.91997529,4862028.05879223,-75.218615,39.973059,"T1","Lancaster Av & Girard Av"
-8373019.62124831,4861809.59018881,-75.216115,39.971555,"T1","Lancaster Av & 47th St"
-8372671.85915907,4861535.34917229,-75.212991,39.969667,"T1","Lancaster Av & 45th St"
-8372510.44589742,4861405.34879447,-75.211541,39.968772,"T1","Lancaster Av & 44th St"
-8372325.32158423,4861253.2723004,-75.209878,39.967725,"T1","Lancaster Av & 43th St"
-8372078.63759263,4861059.51250083,-75.207662,39.966391,"T1","Lancaster Av & 42nd St"
-8371845.08930095,4860870.98523056,-75.205564,39.965093,"T1","Lancaster Av & 41st St"
-8371497.32721171,4860588.92723089,-75.20244,39.963151,"T1","Lancaster Av & 40th St"
-8371437.32600617,4859830.51852138,-75.201901,39.957929,"T1","40th St & Filbert St"
-8371265.00343442,4860422.33958033,-75.200353,39.962004,"T1","Lancaster Av & Spring Garden St"
-8370893.53029365,4860170.0670027,-75.197016,39.960267,"T1","Lancaster Av & 38th St"
-8370533.96833838,4859922.88385356,-75.193786,39.958565,"T1","Lancaster Av & 36th St"
-8370575.82446692,4859453.80466371,-75.194162,39.955335,"T1","36th St Trolley Portal Station"
-8370059.41334913,4859373.49704219,-75.189523,39.954782,"T1","33rd St"
-8369388.93605608,4859378.28934135,-75.1835,39.954815,"T1","Drexel Station at 30th St"
-8368635.97102036,4859254.41641173,-75.176736,39.953962,"T1","22nd St"
-8368068.3529368,4859162.20251414,-75.171637,39.953327,"T1","19th St"
-8367370.60236851,4859042.39833533,-75.165369,39.952502,"T1","15th St/City Hall"
-8367057.79459938,4859046.75482561,-75.162559,39.952532,"T1","13th St"
-8367057.79459938,4859046.75482561,-75.162559,39.952532,"T1","13th St"
-8367367.93070073,4859067.08513882,-75.165345,39.952672,"T1","15th St/City Hall"
-8368051.20973522,4859176.43389443,-75.171483,39.953425,"T1","19th St"
-8368617.60330438,4859267.34094767,-75.176571,39.954051,"T1","22nd St"
-8369352.08930463,4859389.76182449,-75.183169,39.954894,"T1","Drexel Station at 30th St"
-8370056.74168135,4859386.42173309,-75.189499,39.954871,"T1","33rd St"
-8370583.72815077,4859470.6504678,-75.194233,39.955451,"T1","36th St Trolley Portal Station"
-8370570.36981187,4859558.8009603,-75.194113,39.956058,"T1","36th St & Market St"
-8370511.59312073,4859899.50198229,-75.193585,39.958404,"T1","36th St & Lancaster Av"
-8370729.44536422,4860077.69937154,-75.195542,39.959631,"T1","Lancaster Av & Powelton Av"
-8370860.69104386,4860166.14571788,-75.196721,39.96024,"T1","Lancaster Av & 38th St"
-8371220.36431861,4860410.57543167,-75.199952,39.961923,"T1","Lancaster Av & Spring Garden St"
-8371428.97704436,4860552.47232743,-75.201826,39.9629,"T1","Lancaster Av & Haverford Av"
-8371437.32600617,4859830.51852138,-75.201901,39.957929,"T1","40th St & Filbert St"
-8371600.96565764,4860691.4664419,-75.203371,39.963857,"T1","Lancaster Av & Wallace St"
-8371825.27443159,4860872.29241811,-75.205386,39.965102,"T1","Lancaster Av & 41st St"
-8372058.93404276,4861060.67446737,-75.207485,39.966399,"T1","Lancaster Av & 42nd St"
-8372289.92198616,4861245.28362823,-75.20956,39.96767,"T1","Lancaster Av & Parrish St"
-8372449.99941392,4861375.28191034,-75.210998,39.968565,"T1","Lancaster Av & Ogden St"
