Line,StopName,Lon,Lat
K,Adams Av & Rising Sun Av,-75.109906,40.039089
K,Crescentville Av & Adams Ave - FS,-75.114018,40.042384
K,Crescentville Av & Hammond Av,-75.115583,40.041263
K,Champlost St & A St,-75.118078,40.041234
K,Champlost St & Front St,-75.119969,40.041462
K,Front St & Spencer St - FS,-75.119678,40.043094
K,Godfrey Av & Front St - FS,-75.119849,40.044576
K,Godfrey Av & 2nd St,-75.123442,40.045058
K,Godfrey Av & 3rd St,-75.125486,40.045313
K,Godfrey Av & 4th St,-75.126514,40.04544
K,Godfrey Av & 5th St,-75.128287,40.045694
K,5th St & Medary Av,-75.128261,40.046248
K,5th St & Chelten Av - FS,-75.128032,40.047372
K,5th St & 64th Av,-75.127694,40.048915
K,5th St & 65th Av,-75.127417,40.050119
K,66th Av & 5th St - FS,-75.127421,40.051833
K,66th Av & 6th St,-75.128982,40.052042
K,66th Av & 7th St,-75.130648,40.05226
K,66th Av & 8th St,-75.131747,40.052397
K,66th Av & 10th St,-75.133697,40.052651
K,66th Av & Lawnton Av,-75.135151,40.052842
K,66th Av & 11th St,-75.136558,40.053024
K,66th Av & 12th St,-75.137645,40.05316
K,66th Av & 13th St,-75.139229,40.053369
K,66th Av & Broad St,-75.141321,40.053633
K,Old York Rd & 66th Av - FS,-75.142079,40.053269
K,Old York Rd & 65th Av,-75.142663,40.052279
K,Old York Rd & Chelten Av,-75.143603,40.05088
K,Chelten Av 16th St,-75.145352,40.051036
K,Chelten Av 17th St,-75.146877,40.051227
K,Chelten Av & 18th St,-75.148496,40.051418
K,Stenton Av & Chelten Av,-75.149679,40.051385
K,Stenton Av & Ogontz Av - FS,-75.150446,40.05177
K,20th St & Chelten Av,-75.151818,40.051773
K,Chelten Av & Limekiln Pk,-75.152882,40.051793
K,Chelten Av & 21st St,-75.155247,40.051897
K,Chelten Av & Wister St,-75.15767,40.052
K,Chelten Av & Anderson St,-75.159021,40.051218
K,Chelten Av & Ardleigh St,-75.160493,40.049775
K,Chelten Av & Sprague St,-75.161633,40.048671
K,Chelten Av & Boyer St,-75.163152,40.047192
K,Chelten Av & Chew Av - FS,-75.165027,40.045375
K,Chelten Av & McMahon St,-75.166071,40.044351
K,Chelten Av & Musgrave St,-75.167175,40.043265
K,Chelten Av & Magnolia St,-75.16867,40.041804
K,Chelten Av & Morton St,-75.169761,40.040735
K,Chelten Av & Baynton St,-75.171589,40.038954
K,Chelten Av & Lena St,-75.173072,40.03752
K,Chelten Av & Kenyon St,-75.17389,40.036763
K,Chelten Av & Germantown Av,-75.174685,40.035944
K,Chelten Av & Greene St - FS,-75.176726,40.03402
K,Chelten Av & Knox St,-75.177734,40.033004
K,Wayne Av & Chelten Av - FS,-75.178638,40.031516
K,Wayne Av & Chelten Av,-75.178684,40.031703
K,Wayne Av & School House Ln,-75.176833,40.030495
K,Wayne Av & Coulter St,-75.174744,40.029277
K,Penn St & Wayne Av - FS detour,-75.173789,40.028587
K,Penn St & Pulaski Av - detour,-75.175047,40.027358
K,Penn St & Morris St - detour,-75.176245,40.026218
K,King St & Queen Ln - detour,-75.177472,40.023472
