number_of_bathrooms,number_of_bedrooms,total_livable_area,total_area,sale_price,sale_date,central_air,year_built,shape,location,log_sale_price
0,0,1560,2394,45000,2024-12-01T05:00:00Z,NA,1925,SRID=2272;POINT(2672489.26718896 233340.131757309),5717 BALTIMORE AVE,10.714417768752456
2,6,1728,1800,305000,2024-11-07T05:00:00Z,N,1920,SRID=2272;POINT(2714835.60776451 259232.41260429),4518 PAUL ST,12.628067055589549
2,3,930,1416,309000,2024-12-12T05:00:00Z,Y,1925,SRID=2272;POINT(2695358.36696282 275368.524145156),6952 CEDAR PARK AVE,12.641096555879882
3,3,2208,1504,165000,2024-10-21T04:00:00Z,N,1935,SRID=2272;POINT(2696905.45213728 254671.997222704),1223 W WESTMORELAND ST,12.013700752882718
1,3,1218,735,28600,2024-05-17T04:00:00Z,N,1933,SRID=2272;POINT(2692671.77685923 255413.012249275),2122 BELLEVUE ST,10.261161996807944
1,3,1008,616,30500,2024-08-27T04:00:00Z,NA,1915,SRID=2272;POINT(2688429.98283116 250447.59682105),2916 W ARIZONA ST,10.325481962595504
1,3,1170,1110,30000,2023-12-01T05:00:00Z,NA,1925,SRID=2272;POINT(2673222.19430073 232524.830815827),1222 S 57TH ST,10.308952660644293
1,3,1092,1015,42200,2024-08-01T04:00:00Z,N,1928,SRID=2272;POINT(2703880.31788419 268519.760780992),171 W NEDRO AVE,10.650175500024103
1,3,1537,1189,75000,2024-12-19T05:00:00Z,N,1920,SRID=2272;POINT(2696236.83139111 248683.098397027),2232 N 12TH ST,11.225243392518447
1,2,696,658,57500,2024-11-21T05:00:00Z,N,1910,SRID=2272;POINT(2707891.47537546 249927.545291783),3094 JANNEY ST,10.959540226785442
1,4,1544,1080,50000,2024-12-13T05:00:00Z,N,1915,SRID=2272;POINT(2692191.14575831 254160.639146544),3108 N 22ND ST,10.819778284410283
1,3,1360,2680,271656,2024-06-06T04:00:00Z,N,1962,SRID=2272;POINT(2746041.92879412 292139.513682883),3204 ATMORE RD,12.512291838980365
3,4,3794,18450,495000,2024-11-19T05:00:00Z,N,1925,SRID=2272;POINT(2677287.46081664 250387.739680618),2001 N 49TH ST,13.112313041550827
2,3,1336,896,400000,2024-03-06T05:00:00Z,Y,1925,SRID=2272;POINT(2691526.65483528 228086.207964645),1617 S 16TH ST,12.89921982609012
1,4,1662,975,170000,2024-11-25T05:00:00Z,N,1925,SRID=2272;POINT(2689418.63290196 245592.012123997),1504 N STILLMAN ST,12.043553716032399
1,3,1314,938,179000,2024-12-04T05:00:00Z,Y,1925,SRID=2272;POINT(2671617.74537996 239484.744077574),56 N EDGEWOOD ST,12.095141084822892
1,3,858,602,55000,2024-12-27T05:00:00Z,NA,1925,SRID=2272;POINT(2689778.73256032 245044.531145215),2439 HARLAN ST,10.915088464214607
1,3,1088,792,42000,2024-11-13T05:00:00Z,NA,1915,SRID=2272;POINT(2689876.04269397 248334.356774976),2014 N STILLMAN ST,10.645424897265505
1,3,1064,749,180000,2024-12-12T05:00:00Z,Y,1920,SRID=2272;POINT(2707755.2468186 253559.037504359),3358 I ST,12.100712129872347
2,4,1412,1695,175000,2024-10-22T04:00:00Z,NA,1925,SRID=2272;POINT(2671563.15011206 234268.626661132),5916 CHRISTIAN ST,12.072541252905651
1,3,1408,1880,205000,2024-12-05T05:00:00Z,N,1929,SRID=2272;POINT(2694536.21307393 278766.61959527),2117 75TH AVE,12.230765258120545
1,3,1334,2470,320000,2024-11-27T05:00:00Z,Y,1951,SRID=2272;POINT(2713946.74079193 272858.15570344),721 KERPER ST,12.676076274775909
1,3,1626,1635,180000,2024-12-06T05:00:00Z,NA,1915,SRID=2272;POINT(2690793.59244964 250769.002306715),2406 W CUMBERLAND ST,12.100712129872347
1,3,1200,1169,70000,2023-05-18T04:00:00Z,N,1935,SRID=2272;POINT(2700940.19392025 263800.170077631),5007 N 6TH ST,11.156250521031495
1,4,1802,1666,234000,2024-11-25T05:00:00Z,N,1915,SRID=2272;POINT(2692718.65738472 269726.892085499),5613 CHEW AVE,12.363076394339839
